PERIODO;PRECOS1;PRECOS2;BANDEIRAS;CODIGO
20.07.2019;1.440,31;1.806,83;​Bandeira Amarela;2.0
23.08.2019;1.385,62;1.743,52;​Bandeira Vermelha - Patamar 1;3.0
20.09.2019;1.611,41;1.974,60;​​Bandeira Vermelha - Patamar 1;3.0
10.10.2019;1.711,77;2.081,81;​​Bandeira Amarela;2.0
28.12.2019;2.073,68;2.451,37;​Bandeira Amarela;2.0
24.01.2020;1.968,13;2.361,41;​Bandeira Amarela;2.0
29.02.2020;1.613,08;2.065,15;​Bandeira Verde;1.0
31.03.2020;959,028;1.417,67;​​Bandeira Verde;1.0
29.04.2020;802,816;1.268,71;​​​Bandeira Verde;1.0
23.05.2020;1.267,43;1.719,21;​Bandeira Verde;1.0
20.06.2020;1.366,51;1.806,43;​Bandeira Verde;1.0
15.07.2020;1.453,05;1.894,93;​​Bandeira Verde;1.0
28.08.2020;1.773,11;2.213,04;​Bandeira Verde;1.0
26.09.2020;1.623,47;2.061,63;​Bandeira Verde;1.0
31.10.2020;1.630,33;2.065,55;​Bandeira Verde;1.0
25.11.2020;1.773,70;2.209,80;​Bandeira Verde;1.0
19.12.2020;1.876,60;2.310,15;​​​​Bandeira Vermelha - Patamar 2;4.0
12.01.2021;2.110,92;2.545,94;​Bandeira Amarela;2.0
25.02.2021;2.416,78;2.858,46;​Bandeira Amarela;2.0
24.03.2021;2.434,52;2.888,16;​Bandeira Amarela;2.0
27.04.2021;2.449,12;2.904,03;​​Bandeira Amarela;2.0
29.05.2021;2.420,11;2.874,44;​​Bandeira Vermelha - Patamar 1;3.0
24.06.2021;2.405,90;2.859,44;​​​​​Bandeira Vermelha - Patamar 2;4.0
21.07.2021;2.511,25;2.957,44;​​​​​​Bandeira Vermelha - Patamar 2;4.0
